beta,alpha,nAnts,evap,time,best_sol,score
1,1,5,0,0.620168447494507,9147,1
1,1,5,0.04,0.617850065231323,9147,1
1,1,5,0.08,0.612255096435547,9147,1
1,1,20,0,2.35559153556824,9147,1
1,1,20,0.04,2.31395244598389,9147,1
1,1,20,0.08,2.40021276473999,9147,1
1,1,50,0,5.83886122703552,9147,1
1,1,50,0.04,5.71074295043945,9147,1
1,1,50,0.08,5.6983642578125,9147,1
1,1,100,0,11.6659095287323,9147,1
1,1,100,0.04,12.1110320091248,9147,1
1,1,100,0.08,11.9631593227386,9147,1
1,2,5,0,0.62064790725708,8940,0.977369629386684
1,2,5,0.04,0.576848983764648,8911,0.974199190991582
1,2,5,0.08,0.586581707000732,8788,0.960752159177872
1,2,20,0,2.41685652732849,8940,0.977369629386684
1,2,20,0.04,2.48171544075012,9147,1
1,2,20,0.08,2.59834599494934,9147,1
1,2,50,0,6.42527985572815,9147,1
1,2,50,0.04,6.00644898414612,9147,1
1,2,50,0.08,5.92980265617371,9147,1
1,2,100,0,11.7824659347534,9147,1
1,2,100,0.04,11.8493690490723,9147,1
1,2,100,0.08,12.3273451328278,9147,1
1,3,5,0,0.617504596710205,8554,0.935170001093255
1,3,5,0.04,0.62472414970398,8730,0.954411282387668
1,3,5,0.08,0.602291345596314,8810,0.963157319339674
1,3,20,0,2.4683141708374,9147,1
1,3,20,0.04,2.41053700447083,8990,0.982835902481688
1,3,20,0.08,2.47377228736877,9147,1
1,3,50,0,6.39200568199158,9147,1
1,3,50,0.04,6.73307061195374,8940,0.977369629386684
1,3,50,0.08,6.49669528007507,9147,1
1,3,100,0,12.4583892822266,9147,1
1,3,100,0.04,12.5172724723816,9147,1
1,3,100,0.08,12.5236403942108,9147,1
1,4,5,0,0.621267795562744,8106,0.88619219416202
1,4,5,0.04,0.652081489562988,8900,0.972996610910681
1,4,5,0.08,0.628114461898804,8601,0.940308297802558
1,4,20,0,2.47018504142761,8990,0.982835902481688
1,4,20,0.04,2.5175895690918,8900,0.972996610910681
1,4,20,0.08,2.45424652099609,8788,0.960752159177872
1,4,50,0,6.16480565071106,9147,1
1,4,50,0.04,6.29506015777588,9147,1
1,4,50,0.08,6.36052060127258,9147,1
1,4,100,0,12.7550766468048,9147,1
1,4,100,0.04,12.9892106056213,8911,0.974199190991582
1,4,100,0.08,12.6685779094696,9147,1
2,1,5,0,0.616076946258545,9147,1
2,1,5,0.04,0.620836496353149,9147,1
2,1,5,0.08,0.630901575088501,9147,1
2,1,20,0,2.4689462184906,9147,1
2,1,20,0.04,2.58463072776794,9147,1
2,1,20,0.08,2.48797821998596,9147,1
2,1,50,0,6.2612886428833,9147,1
2,1,50,0.04,6.13957023620606,9147,1
2,1,50,0.08,6.25392150878906,9147,1
2,1,100,0,12.6333425045013,9147,1
2,1,100,0.04,12.2706899642944,9147,1
2,1,100,0.08,12.892805814743,9147,1
3,1,5,0,0.704311609268189,9147,1
3,1,5,0.04,0.650299310684204,9147,1
3,1,5,0.08,0.78936505317688,9147,1
3,1,20,0,2.71256065368652,9147,1
3,1,20,0.04,2.70727467536926,9147,1
3,1,20,0.08,2.81215596199036,9147,1
3,1,50,0,7.00088143348694,9147,1
3,1,50,0.04,7.20059108734131,9147,1
3,1,50,0.08,6.75547289848328,9147,1
3,1,100,0,13.4514033794403,9147,1
3,1,100,0.04,13.661340713501,9147,1
3,1,100,0.08,13.0856072902679,9147,1
4,1,5,0,0.678400993347168,9147,1
4,1,5,0.04,0.676326990127564,9147,1
4,1,5,0.08,0.672796010971069,9147,1
4,1,20,0,2.66428971290588,9147,1
4,1,20,0.04,2.68940281867981,9147,1
4,1,20,0.08,2.65825438499451,9147,1
4,1,50,0,6.63719344139099,9147,1
4,1,50,0.04,6.63832712173462,9147,1
4,1,50,0.08,6.64532709121704,9147,1
4,1,100,0,13.3486013412476,9147,1
4,1,100,0.04,13.4359467029572,9147,1
4,1,100,0.08,13.7154765129089,9147,1
