beta,alpha,nAnts,evap,time,best_sol,score
1,1,5,0,21.5246365070343,25926,4.24320785597381
1,1,5,0.04,21.0891675949097,18630,3.04909983633388
1,1,5,0.08,21.5983061790466,17300,2.83142389525368
1,1,20,0,30.490375995636,22912,3.74991816693944
1,1,20,0.04,30.7465014457703,20666,3.3823240589198
1,1,20,0.08,30.6467092037201,18542,3.03469721767594
1,1,50,0,31.1118829250336,24022,3.9315875613748
1,1,50,0.04,31.157555103302,23042,3.77119476268412
1,1,50,0.08,30.7598035335541,22316,3.65237315875614
1,1,100,0,30.1953496932983,35007,5.72945990180033
1,1,100,0.04,30.0805568695068,32941,5.39132569558102
1,1,100,0.08,31.0463700294495,35600,5.82651391162029
1,2,5,0,21.3956961631775,30611,5.00998363338789
1,2,5,0.04,23.4785535335541,29060,4.75613747954174
1,2,5,0.08,22.090104341507,28136,4.60490998363339
1,2,20,0,30.6803450584412,26370,4.31587561374795
1,2,20,0.04,30.6286857128143,26283,4.30163666121113
1,2,20,0.08,30.4242203235626,27193,4.4505728314239
1,2,50,0,31.2926445007324,30166,4.93715220949264
1,2,50,0.04,31.9183166027069,27485,4.49836333878887
1,2,50,0.08,30.9378678798676,29113,4.76481178396072
1,2,100,0,30.4308993816376,38432,6.29001636661211
1,2,100,0.04,30.9789345264435,40343,6.60278232405892
1,2,100,0.08,30.7869222164154,37656,6.16301145662848
1,3,5,0,21.8992102146149,39952,6.53878887070376
1,3,5,0.04,22.0636627674103,38856,6.35941080196399
1,3,5,0.08,22.2146036624908,35041,5.73502454991817
1,3,20,0,30.6188778877258,35931,5.88068739770867
1,3,20,0.04,30.5003087520599,32843,5.37528641571195
1,3,20,0.08,30.5004489421844,33592,5.49787234042553
1,3,50,0,30.6233105659485,35185,5.75859247135843
1,3,50,0.04,30.5994923114777,36349,5.94909983633388
1,3,50,0.08,30.7974517345428,34227,5.60180032733224
1,3,100,0,31.7647075653076,40568,6.63960720130933
1,3,100,0.04,31.5864434242249,39444,6.4556464811784
1,3,100,0.08,33.9095740318298,40413,6.61423895253683
1,4,5,0,21.8890047073364,38488,6.29918166939444
1,4,5,0.04,22.1660866737366,40450,6.620294599018
1,4,5,0.08,21.8099505901337,38016,6.22193126022913
1,4,20,0,30.2736365795135,37595,6.15302782324059
1,4,20,0.04,30.4999582767487,37516,6.14009819967267
1,4,20,0.08,30.6523015499115,36165,5.9189852700491
1,4,50,0,30.1999802589417,37552,6.14599018003273
1,4,50,0.04,31.890613079071,37576,6.14991816693944
1,4,50,0.08,31.8391029834747,36127,5.91276595744681
1,4,100,0,33.7180223464966,38553,6.30981996726678
1,4,100,0.04,32.918075799942,39277,6.42831423895254
1,4,100,0.08,33.8397090435028,40335,6.60147299509002
2,1,5,0,20.906275510788,18073,2.95793780687398
2,1,5,0.04,20.8624184131622,15975,2.61456628477905
2,1,5,0.08,20.7249286174774,14408,2.35810147299509
2,1,20,0,30.5150260925293,16882,2.76301145662848
2,1,20,0.04,30.0822360515594,15480,2.53355155482815
2,1,20,0.08,30.4994025230408,15464,2.53093289689034
2,1,50,0,31.2867562770843,17519,2.86726677577741
2,1,50,0.04,30.2238667011261,19700,3.22422258592471
2,1,50,0.08,31.4445967674255,19351,3.1671031096563
2,1,100,0,33.5787799358368,30837,5.04697217675941
2,1,100,0.04,30.2350134849548,33763,5.52585924713584
2,1,100,0.08,30.8347036838531,37864,6.19705400981997
3,1,5,0,21.5576872825623,15027,2.45941080196399
3,1,5,0.04,21.2912619113922,14775,2.41816693944354
3,1,5,0.08,21.2552938461304,14134,2.31325695581015
3,1,20,0,30.1048231124878,14602,2.389852700491
3,1,20,0.04,30.699524641037,13062,2.13780687397709
3,1,20,0.08,30.6017234325409,14407,2.35793780687398
3,1,50,0,31.4995541572571,20293,3.32127659574468
3,1,50,0.04,31.0720324516296,19334,3.16432078559738
3,1,50,0.08,31.7913749217987,18231,2.98379705400982
3,1,100,0,30.7895185947418,36690,6.00490998363339
3,1,100,0.04,31.4554853439331,36690,6.00490998363339
3,1,100,0.08,31.7417461872101,34468,5.64124386252046
4,1,5,0,22.0561349391937,15354,2.51292962356792
4,1,5,0.04,22.0945680141449,14611,2.39132569558101
4,1,5,0.08,22.1790182590485,15998,2.61833060556465
4,1,20,0,30.2356493473053,14720,2.40916530278232
4,1,20,0.04,30.082624912262,14003,2.29181669394435
4,1,20,0.08,30.2641644477844,14511,2.37495908346972
4,1,50,0,30.8719148635864,20811,3.40605564648118
4,1,50,0.04,31.1977579593658,17254,2.82389525368249
4,1,50,0.08,31.0657544136047,19450,3.18330605564648
4,1,100,0,30.1285948753357,37435,6.12684124386252
4,1,100,0.04,30.2727572917938,35952,5.88412438625205
4,1,100,0.08,30.2085220813751,36263,5.93502454991817
